Ranking,Fund Short Name,Fund Company,Dummy,Lastest NAV,Dummy,Recent Month Return,Dummy,Annalized Return,Dummy,Cumulative Return,Sharpe Ratio,Year Rating,Investment Strategy
151,中信·常春藤目标证券投资,中信信托有限,14.4475%,1.1320,14.4475%,3.7866%,14.4475%,11.5931%,14.4475%,13.2000%,,,
152,华润信托·沣杨尊享B期集,华润深国投信,11.6540%,1.1152,11.6540%,4.3804%,11.6540%,11.7435%,11.6540%,11.5200%,,,
153,外贸信托·鹏华鹏瑞1·3,中国对外经济,4.8690%,1.0403,4.8690%,--,4.8690%,--,4.8690%,4.0300%,,,
154,外贸信托·嘉理商品对冲尊,中国对外经济,-0.8815%,0.9670,-0.8815%,-0.2373%,-0.8815%,-3.8385%,-0.8815%,-3.3000%,,,
155,外贸信托·博普对冲1号集,中国对外经济,1.9195%,1.0460,1.9195%,-1.1903%,1.9195%,3.1355%,1.9195%,4.6000%,,,
156,陆家嘴信托·陆鑫1号证券,陆家嘴国际信,-2.6561%,0.9419,-2.6561%,0.4479%,-2.6561%,-3.6124%,-2.6561%,-5.8100%,,,
157,友利恒升投资基金,深圳友利基金,11.1446%,1.1070,11.1446%,7.1636%,11.1446%,10.8108%,11.1446%,10.7000%,,,
158,镕畿1号私募投资基金,上海镕畿投资,7.5075%,1.0740,7.5075%,-1.7383%,7.5075%,6.1265%,7.5075%,7.4000%,,,
159,格鲁稳健成长一号,上海逐熹投资,-10.2828%,1.0470,-10.2828%,7.7160%,-10.2828%,-7.8345%,-10.2828%,6.4000%,,,
160,中信·朴石尊享B期证券投,中信信托有限,23.6036%,119.5000,23.6036%,5.6120%,23.6036%,17.5950%,23.6036%,19.5000%,,,
161,翊元一号证券投资基金,上海翊元资产,22.3180%,1.2770,22.3180%,2.6527%,22.3180%,--,22.3180%,27.7000%,,,
162,天成壹号证券投资基金,方圆天成资产,303.5751%,4.3461,303.5751%,-6.0567%,303.5751%,388.1065%,303.5751%,334.6100%,,,
163,平安财富·对冲优选1期1,平安信托有限,-11.8733%,97.3800,-11.8733%,0.0000%,-11.8733%,-12.3965%,-11.8733%,-2.6200%,,,
164,外贸信托·富善优享7号稳,中国对外经济,-2.4943%,1.0750,-2.4943%,--,-2.4943%,--,-2.4943%,7.5000%,,,
165,外贸信托·富善优享7号稳,中国对外经济,-2.4985%,0.9561,-2.4985%,--,-2.4985%,--,-2.4985%,-4.3900%,,,
166,中信·高毅庆瑞尊享E期集,中信信托有限,43.1181%,133.2000,43.1181%,9.5935%,43.1181%,39.9601%,43.1181%,33.2000%,,,
167,中信·锐进35期神农投资,中信信托有限,22.1419%,113.1400,22.1419%,7.5271%,22.1419%,16.6753%,22.1419%,13.1400%,,,
168,外贸信托·淡水泉尊享AC,中国对外经济,31.1999%,1.3755,31.1999%,--,31.1999%,--,31.1999%,37.5500%,,,
169,华润信托·展博投资尊享系,华润深国投信,24.2889%,0.8346,24.2889%,5.4320%,24.2889%,15.3559%,24.2889%,-16.5400%,,,
170,华润信托·展博投资尊享系,华润深国投信,24.2767%,0.9020,24.2767%,5.4231%,24.2767%,15.3453%,24.2767%,-9.8000%,,,
171,高毅邻山1号远望基金,上海高毅资产,45.6032%,2.0830,45.6032%,4.6628%,45.6032%,--,45.6032%,108.3000%,,,
172,星座财富启明之星私募证券,上海星座财富,-20.4697%,0.7145,-20.4697%,-2.7494%,-20.4697%,-15.5338%,-20.4697%,-28.5500%,,,
173,能信1号证券投资基金,深圳市能信基,18.6522%,0.9860,18.6522%,--,18.6522%,5.3419%,18.6522%,-1.4000%,,,
174,中信·神农尊享I期证券投,中信信托有限,22.1419%,113.1400,22.1419%,7.5271%,22.1419%,16.6753%,22.1419%,13.1400%,,,
175,中信·神农尊享B期证券投,中信信托有限,22.1419%,113.1400,22.1419%,7.5271%,22.1419%,16.6753%,22.1419%,13.1400%,,,
176,中信·朱雀9期尊享B期证,中信信托有限,24.2888%,185.2400,24.2888%,4.5431%,24.2888%,24.1721%,24.2888%,85.2400%,,,
177,中信·朱雀9期尊享D期证,中信信托有限,24.2852%,150.4100,24.2852%,4.5458%,24.2852%,24.1724%,24.2852%,50.4100%,,,
178,中信·高毅庆瑞尊享H期证,中信信托有限,43.0976%,126.6700,43.0976%,9.5951%,43.0976%,39.9514%,43.0976%,26.6700%,,,
179,中信·锐进43期高毅晓峰,中信信托有限,45.3528%,158.4200,45.3528%,8.0406%,45.3528%,45.2861%,45.3528%,58.4200%,,,
180,安洪精选证券投资基金,上海安洪投资,-3.2326%,1.0088,-3.2326%,-3.3439%,-3.2326%,2.0020%,-3.2326%,0.8800%,,,
181,平安财富·对冲优选1期1,平安信托有限,-11.9063%,95.1500,-11.9063%,0.0000%,-11.9063%,-12.4091%,-11.9063%,-4.8500%,,,
182,外贸信托·尚雅尊享A期集,中国对外经济,8.1668%,0.7523,8.1668%,2.3816%,8.1668%,5.0845%,8.1668%,-24.7700%,,,
183,外贸信托·锐进31期清水,中国对外经济,1.1708%,0.6740,1.1708%,1.1556%,1.1708%,-0.1334%,1.1708%,-32.6000%,,,
184,外贸信托·景林优选2号铂,中国对外经济,67.7836%,1.5572,67.7836%,--,67.7836%,--,67.7836%,55.7200%,,,
185,外贸信托·景林优选2号铂,中国对外经济,67.7802%,1.5570,67.7802%,--,67.7802%,--,67.7802%,55.7000%,,,
186,外贸信托·鸿道尊享X期集,中国对外经济,21.3571%,0.6796,21.3571%,0.3692%,21.3571%,14.5072%,21.3571%,-32.0400%,,,
